timestamp,open,high,low,close,volume
2026-07-15 21:15:00,10505177,10510570,10484382,10496315,6.907
2026-07-15 21:30:00,10496398,10539805,10495264,10505371,38.909
2026-07-15 21:45:00,10505371,10576085,10504827,10559093,25.756
2026-07-15 22:00:00,10559101,10607486,10557784,10603308,44.127
2026-07-15 22:15:00,10600838,10633156,10585874,10590000,29.569
2026-07-15 22:30:00,10593584,10625161,10580000,10585490,24.03
2026-07-15 22:45:00,10585175,10585362,10520000,10557465,44.29
2026-07-15 23:00:00,10556695,10601133,10548444,10582903,19.573
2026-07-15 23:15:00,10583060,10602486,10548381,10587017,30.992
2026-07-15 23:30:00,10588354,10616816,10580080,10593519,24.623
2026-07-15 23:45:00,10595326,10613276,10586099,10594909,5.496
2026-07-16 00:00:00,10595291,10610971,10570000,10598241,10.5
2026-07-16 00:15:00,10597786,10601000,10576007,10589682,11.309
2026-07-16 00:30:00,10589788,10620039,10582000,10605000,10.229
2026-07-16 00:45:00,10605000,10626090,10587511,10598559,10.664
2026-07-16 01:00:00,10602557,10605462,10546677,10548365,11.499
2026-07-16 01:15:00,10548080,10563627,10538261,10557720,12.51
2026-07-16 01:30:00,10558528,10558528,10496796,10521379,11.499
2026-07-16 01:45:00,10523740,10553016,10521076,10551458,13.092
2026-07-16 02:00:00,10553617,10556419,10532480,10534846,6.236
2026-07-16 02:15:00,10535639,10541284,10525750,10535204,7.482
2026-07-16 02:30:00,10537320,10545332,10523280,10531906,12.778
2026-07-16 02:45:00,10534216,10558142,10523464,10535586,28.703
2026-07-16 03:00:00,10532419,10546834,10511201,10541775,10.999
2026-07-16 03:15:00,10540247,10540247,10522714,10529611,3.246
2026-07-16 03:30:00,10529611,10539444,10521383,10521514,1.754
2026-07-16 03:45:00,10521514,10529264,10500695,10505540,6.374
2026-07-16 04:00:00,10505540,10518820,10503191,10518616,2.018
2026-07-16 04:15:00,10510469,10511701,10487681,10510047,3.902
2026-07-16 04:30:00,10510741,10538440,10509669,10537820,3.194
2026-07-16 04:45:00,10536730,10544431,10526008,10536759,4.581
2026-07-16 05:00:00,10537949,10539336,10524632,10533950,5.622
2026-07-16 05:15:00,10533898,10544942,10533898,10540999,1.67
2026-07-16 05:30:00,10542231,10550310,10538809,10538809,2.876
2026-07-16 05:45:00,10540134,10540868,10534326,10538000,3.552
2026-07-16 06:00:00,10537011,10541629,10511544,10524657,16.055
2026-07-16 06:15:00,10522146,10528000,10511768,10512513,3.316
2026-07-16 06:30:00,10512665,10519723,10503428,10508922,5.673
2026-07-16 06:45:00,10507285,10513798,10503976,10509866,4.485
2026-07-16 07:00:00,10510655,10517439,10501686,10505399,7.395
2026-07-16 07:15:00,10503532,10519501,10496721,10516953,3.68
2026-07-16 07:30:00,10517436,10527668,10513086,10517264,4.394
2026-07-16 07:45:00,10517226,10530000,10509782,10512503,6.245
2026-07-16 08:00:00,10511723,10527675,10510269,10520004,2.364
2026-07-16 08:15:00,10519247,10521746,10504750,10506355,4.109
2026-07-16 08:30:00,10509901,10510937,10484962,10490449,6.252
2026-07-16 08:45:00,10488837,10502595,10480716,10493078,5.908
2026-07-16 09:00:00,10491315,10511980,10489791,10506345,7.89
2026-07-16 09:15:00,10504884,10508810,10459009,10461253,19.564
2026-07-16 09:30:00,10461253,10471244,10451277,10455408,14.866
2026-07-16 09:45:00,10457499,10480377,10453763,10465556,10.205
2026-07-16 10:00:00,10467346,10478124,10462897,10473120,4.635
2026-07-16 10:15:00,10468252,10469760,10433481,10456807,19.489
2026-07-16 10:30:00,10458995,10485000,10458219,10467431,16.57
2026-07-16 10:45:00,10466958,10503556,10463325,10484780,14.881
2026-07-16 11:00:00,10486340,10489548,10476253,10480004,5.534
2026-07-16 11:15:00,10479001,10483517,10468353,10479013,3.066
2026-07-16 11:30:00,10479611,10481004,10465572,10467464,6.512
2026-07-16 11:45:00,10468277,10482254,10466452,10476528,3.144
2026-07-16 12:00:00,10474552,10488737,10468000,10485178,6.61
2026-07-16 12:15:00,10483368,10486560,10461436,10479178,10.323
2026-07-16 12:30:00,10479034,10488000,10474485,10477289,3.618
2026-07-16 12:45:00,10475329,10475975,10458219,10465514,6.258
2026-07-16 13:00:00,10466550,10475649,10462086,10473054,2.218
2026-07-16 13:15:00,10472569,10475360,10457659,10473609,4.746
2026-07-16 13:30:00,10472549,10480582,10463793,10468527,2.072
2026-07-16 13:45:00,10467252,10472051,10461447,10470496,4.924
2026-07-16 14:00:00,10470819,10490183,10463919,10488879,4.638
2026-07-16 14:15:00,10492130,10524354,10489448,10519826,14.548
2026-07-16 14:30:00,10518956,10529500,10506505,10515240,9.452
2026-07-16 14:45:00,10517508,10520146,10509915,10519246,3.224
2026-07-16 15:00:00,10519373,10527477,10505726,10509212,9.112
2026-07-16 15:15:00,10508557,10516231,10497139,10502914,3.086
2026-07-16 15:30:00,10502959,10503439,10472595,10487339,8.469
2026-07-16 15:45:00,10485791,10497914,10482044,10493614,4.846
2026-07-16 16:00:00,10489198,10492890,10468260,10468260,5.538
